administration,case_caption,date_initiated,policy_area,specific_policy,litigation_target,result_type,injunction_issued,general_success,case_stage,dispute_category,eo_related_first_pass,citation_or_docket,opinion_links_or_titles,status_summary,coding_note
Joe Biden,Louisiana v. Biden,2021-03-24,Energy,Oil and Gas Leases,"President, U.S. Department of the Interior, Bureau of Land Management (Interior)",adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,Likely EO/directive-related,21-30505,(2022.08.17) Louisiana v. Biden - Opinion (5th Cir.) (2022.08.18) Louisiana v. Biden - Opinion (W.D. La.) | links: https://attorneysgeneral.org/wp-content/uploads/2021/04/2021.03.24-Louisiana-v.-Biden-Complaint-W.D.-La..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/08/2022.08.17-Louisiana-v.-Biden-Opinion-5th-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/08/2022.08.18-Louisiana-v.-Biden-Opinion-W.D.-La..pdf,"On 6/15/21, the court granted the motion for preliminary injunction, applicable nationwide. However, the Fifth Circuit reversed the district court's injunction order and remanded the case. The District Court subsequently granted summary judgment to the states and issued a permanent injunction against the federal government.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Missouri v. Yellen,2021-03-29,Other,American Rescue Plan Act Tax Provision,U.S. Department of the Treasury,state_loss,No Injunction Issued (Denied),"Failure, Procedural Dismissal","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,21-02118,(2021.05.11) Missouri v. Yellen - Opinion and Order (E.D.Mo.) | links: https://attorneysgeneral.org/wp-content/uploads/2022/08/2021.03.29-Missouri-v.-Yellen-Complaint-E.D.Mo_..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/08/2021.05.11-Missouri-v.-Yellen-Opinion-and-Order-E.D.Mo_..pdf,"The district court dismissed the suit, holding that Missouri lacked standing to sue. The 8th Circuit upheld this decision in July 2022, and the U.S. Supreme Court denied cert in January 2023.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,West Virginia v. U.S. Department of the Treasury,2021-03-31,Other,Federal Tax Mandate,U.S. Department of the Treasury,adverse_tro_or_injunction; adverse_merits_or_partial_merits,Local Injunction Issued,"Success, Merits Decision","Case Active, Appellate Court, Appeal Period Open from Final Court Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,22-10168,(2021.11.15) West Virginia v. U.S. Department of the Treasury - Opinion [N.D. Ala.] (2023.01.10) West Virginia v. U.S. Department of the Treasury - Opinion (11th Cir.) | links: https://attorneysgeneral.org/wp-content/uploads/2021/04/2021.03.31-West-Virginia-v.-U.S.-Department-of-the-Treasury-Complaint-N.D.-Ala..pdf; https://attorneysgeneral.org/wp-content/uploads/2021/11/2021.11.15-West-Virginia-v.-U.S.-Department-of-the-Treasury-Opinion-N.D.-Ala..pdf; https://attorneysgeneral.org/wp-content/uploads/2023/01/2023.01.10-West-Virginia-v.-U.S.-Department-of-the-Treasury-Opinion-11th-Cir..pdf,"On 11/15/21, the district court ruled in favor of the plaintiff states and permanently enjoined the ""tax mandate."" The federal government appealed to the 11th Circuit, which upheld the district court's injunction. The federal defendants have been considering an appeal to SCOTUS.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Kentucky v. Yellen,2021-04-06,Other,Federal Tax Mandate,U.S. Department of the Treasury,adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Appeal Period Open from Final Court Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,21-06108,links: https://attorneysgeneral.org/wp-content/uploads/2021/04/2021.04.06-Kentucky-v.-Yellen-Complaint-E.D.-Ky..pdf,"The district court permanently enjoined the federal government from enforcing the tax policy against the two plaintiff states on 9/24/21. The federal defendants filed an appeal to the Sixth Circuit, which reversed the injunction as applied to Kentucky but affirmed it as applied to Tennessee. The federal defendants filed a petition for rehearing en banc, which was denied.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. United States,2021-04-06,Immigration,Custody of Criminal Aliens,U.S. Department of Homeland Security; U.S. Customs and Border Protection (DHS); U.S. Immigration and Customs Enforcement (DHS); U.S. Citizenship and Immigration Services (DHS),adverse_tro_or_injunction; adverse_merits_or_partial_merits,National Injunction Issued,"Success, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Immigration / border policy,No obvious EO link in AG metadata,22-58,(2021.08.19) Texas v. United States - Memorandum Opinion and Order [S.D. Tex.] (2021.09.15) Texas v. United States - Order Partially Granting Stay of Injunction Pending Appeal [5th Cir.] (2022.06.10) Texas v. United States - Memorandum Opinion and Order [S.D. Tex.] | links: https://attorneysgeneral.org/wp-content/uploads/2021/04/2021.04.06-Texas-v.-United-States-Complaint-S.D.-Tex..pdf; https://attorneysgeneral.org/wp-content/uploads/2021/08/2021.08.19-Texas-v.-United-States-Memorandum-Opinion-and-Order-S.D.-Tex..pdf; https://attorneysgeneral.org/wp-content/uploads/2021/12/2021.09.15-Texas-v.-United-States-Order-Partially-Granting-Stay-of-Injunction-Pending-Appeal-5th-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/06/2022.06.10-Texas-v.-United-States-Memorandum-Opinion-and-Order-S.D.-Tex..pdf,"The district court granted the plaintiff states' motion for a nationwide preliminary injunction. The case was appealed to the Fifth Circuit, but following new Biden Administration guidelines, the U.S. Supreme Court eventually accepted the case before judgment. The Court reversed the district court, holding that the states lacked standing to challenge the alleged lack of immigration enforcement.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. Biden,2021-04-13,Immigration,Migrant Protection Protocols,President; U.S. Department of Homeland Security; U.S. Immigration and Customs Enforcement (DHS); U.S. Customs and Border Protection (DHS),adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Active, Original Court, Stayed or Held in Abeyance",Immigration / presidential directive,Possible presidential-directive/OMB-related,21-954,(2021.08.13) Texas v. Biden - Memorandum Opinion and Order [N.D. Tex.].pdf (2021.12.21) Texas v. Biden - Opinion (with technical revisions) [5th Cir.] (2022.06.30) Biden v. Texas - Opinion [SCOTUS] | links: https://attorneysgeneral.org/wp-content/uploads/2021/04/2021.04.13-Texas-v.-Biden-N.D.-Tex..pdf; https://attorneysgeneral.org/wp-content/uploads/2021/08/2021.08.13-Texas-v.-Biden-Memorandum-Opinion-and-Order-N.D.-Tex..pdf.pdf; https://attorneysgeneral.org/wp-content/uploads/2021/12/2021.12.21-Texas-v.-Biden-Opinion-with-technical-revisions-5th-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/07/2022.06.30-Biden-v.-Texas-Opinion-SCOTUS.pdf,"The district court issued a permanent injunction ordering the Biden Administration to continue the Trump-era Migrant Protection Protocols. In December 2021, the Fifth Circuit affirmed the district court's injunction. The U.S. Supreme Court reversed the lower court decision, holding that the Administration's revocation of the MPP was legally justified. The case is currently stayed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Florida v. Becerra,2021-04-20,Other,Ban on Cruise Ships During COVID,U.S. Department of Health and Human Services; Centers for Disease Control and Prevention (HHS),adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Closed, Agency Reversed Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,21-12243,links: https://attorneysgeneral.org/wp-content/uploads/2021/04/2021.04.08-Florida-v.-Becerra-Complaint-M.D.-Fla..pdf,"On 6/18/21, the district court granted the plaintiffs' motion for preliminary injunction. The federal government filed an appeal to the 11th Circuit, but dismissed the appeal in January 2022 following the expiration of the challenged CDC policy. The plaintiff states voluntarily dismissed the district court case shortly after.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. Biden,2021-04-22,Environment,Executive Order on Social Costs of Greenhouse Gases,President; Council of Economic Advisers (EOP); Office of Management and Budget (EoP); Office of Science and Technology Policy (EoP); U.S. Department of the Treasury; U.S. Department of the Interior; Agriculture; U.S. Department of Commerce; U.S. Department of Health and Human Services; U.S. Department of Transportation; Energy; Council on Environmental Quality (EOP); U.S. Environmental Protection Agency; White House Office of Domestic Climate Policy (EoP); National Economic Council (EoP); National Highway Traffic Safety Administration (DoT),adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,Likely EO/directive-related,22-30087,(2022.02.11) Louisiana v. Biden - Order Granting Preliminary Inunction [W.D. La.] | links: https://attorneysgeneral.org/wp-content/uploads/2021/04/2021.04.22-Louisiana-v.-Biden-Complaint-W.D.-La..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/02/2022.02.11-Louisiana-v.-Biden-Order-Granting-Preliminary-Inunction-W.D.-La..pdf,"The district court issued a preliminary injunction blocking the policy on 2/11/22. The federal defendants appealed to the Fifth Circuit, which reversed the district court and dismissed the case due to lack of state standing.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. Biden,2021-04-22,Immigration,Title 42 Process,"President, U.S. Department of Health and Human Services, Centers for Disease Control and Prevention (HHS), U.S. Department of Homeland Security, U.S. Customs and Border Protection (DHS), U.S. Immigration and Customs Enforcement (DHS)",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Closed, Voluntarily Dismissed",Immigration / presidential directive,Possible presidential-directive/OMB-related,4:21-cv-00579,(2022.03.04) Texas v. Biden - Opinion and Order (N.D.Tex.) | links: https://attorneysgeneral.org/wp-content/uploads/2022/08/2021.04.22-Texas-v.-Biden-Complaint-N.D.Tex_..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/08/2022.03.04-Texas-v.-Biden-Opinion-and-Order-N.D.Tex_..pdf,The district court granted a preliminary injunction blocking the administration's Title 42 policy. The case was stayed following the adoption of a new CDC order before being voluntarily dismissed by the parties.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Oklahoma v. United States,2021-04-26,Other,Horseracing Authority,Federal Trade Commission,adverse_tro_or_injunction; state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,5:21-cv-00104,(2023.03.03) Oklahoma v. United States - Opinion (6th Cir.) | links: https://attorneysgeneral.org/wp-content/uploads/2021/05/2021.04.26-Oklahoma-v.-United-States-Complaint-E.D.-Ky..pdf; https://attorneysgeneral.org/wp-content/uploads/2023/03/2023.03.03-Oklahoma-v.-United-States-Opinion-6th-Cir..pdf,"On 6/3/22, the district court issued an opinion dismissing the plaintiff states' challenge. On appeal, the Sixth Circuit upheld the district court, subsequently denying rehearing en banc.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
